UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Joanna Lavoie,@JoannaLavoie,2020-04-01T14:14:14.000Z,"Spotted this morning in #RiverdaleTO #eastTO ~
#FrontLineHeroes #COVID19 #coronavirus #coronaviruspandamic #thankyou",,,,2,9,['https://pbs.twimg.com/media/EUhipXOX0AcZuZU?format=jpg&name=small'],https://twitter.com/JoannaLavoie/status/1245353785825857543
sukhbir kaur,@sukhbxrkaur,2020-04-01T04:19:03.000Z,"Sunnybrook Hospital.
#COVID19 #Coronavirusontario #COVID19Ontario 
Reply back if anyone is able to donate anything listed below-",,,4,39,18,['https://pbs.twimg.com/media/EUfacJbWAAIVi9A?format=jpg&name=900x900'],https://twitter.com/sukhbxrkaur/status/1245204001974620160
UofTMDPhD,@uoftmdphd,2020-04-01T02:18:55.000Z,"New peer-reviewed #covid19 biology and diagnostics technology review from 
@TheChanLab
 and our student Hannah Kozlowski! ","Quote Tweet
The Chan Lab
@TheChanLab
 · Mar 31, 2020
New paper alert!
Check out our review paper in @acsnano on
- the biology of the #COVID19 virus,
- current and emerging #diagnostics tools, and
- #surveillance strategies to monitor the ongoing pandemic. 
#FlattenTheCurve
https://pubs.acs.org/doi/10.1021/acsnano.0c02624…
Show this thread",🦠 🔬 🚨 🚨 🩺 🧬 🏥,,3,16,['https://pbs.twimg.com/profile_images/784099012496486400/xhrnJ3Dq_mini.jpg'],https://twitter.com/uoftmdphd/status/1245173767430713344
Sonia Ojha,@QueenSonia90,2020-04-01T18:00:17.000Z,"The new norm for productive meetings! Wish we could see all of our 
@MBOTOntario
 members this way! #StayAtHomeAndStaySafe #COVID19 #CoronavirusPandemic",,,1,2,7,['https://pbs.twimg.com/media/EUiWXE4XQAATWyJ?format=jpg&name=small'],https://twitter.com/QueenSonia90/status/1245410670474080256
David J. Doorey,@TheLawofWork,2020-04-01T01:16:17.000Z,"From my Law of Work book, look how workers joined unions during the world wars. Crisis and labour power pushed unionization as workers demanded better, safer working conditions. 

We are seeing seeds of employee activism during #COVID19.",,,1,35,69,['https://pbs.twimg.com/media/EUewl0jWkAAmm0y?format=jpg&name=small'],https://twitter.com/TheLawofWork/status/1245158005513031685
Ms. J. Allen,@JAllenite,2020-04-01T18:10:02.000Z,"Sending lots of 
 to our @DerryWest & 
@PeelSchools
 family. We miss our students and the familiarity that school brings into our lives. 
 @MsBowenDWV
 for creating this collage @ClimatePeel 
@ETFOPeel
 @ETFOeducators
 #COVID19","Quote Tweet
Ms.Bowen
@MsBowenDWV
 · Apr 1, 2020
To our @DerryWest Village families, We wanted you to know that we are thinking of you and miss you terribly. We will see you all soon. 
Show this thread",❤ 🙏 💜 🐺,,2,17,"['https://pbs.twimg.com/profile_images/1327081383353847811/c5gOtfqp_mini.jpg', 'https://pbs.twimg.com/media/EUiThFcX0AMDeOP?format=jpg&name=small', 'https://pbs.twimg.com/media/EUiThFdWsAcEsNv?format=jpg&name=small']",https://twitter.com/JAllenite/status/1245413124443947013
Karen López,@datachick,2020-04-01T12:44:11.000Z,"Received my first April Fool  vendor prank email today.  Yes, of course it was about #COVID19 

Vendors.  Don’t.",,,2,7,25,[],https://twitter.com/datachick/status/1245331123254804480
Derek Stockley,@derek_stockley,2020-04-01T15:57:53.000Z,"Thank-you to 
@HumberFSCS
 faculty 
@francissyms
 on the #virtual frontlines of the #COVID19 fight.  

Read about how this group is helping protect 
 hospitals, health-care, municipalities + critical infrastructure from online attacks.","All-volunteer cyber civil defence brigade assembles to fight COVID-19 hackers | CBC News
Civil defence in the online world means fighting hackers and cyber criminals looking to take down or ransom critical infrastructure, such as hospitals. The COVID-19 crisis has prompted Canadian IT...
cbc.ca",,,4,10,['https://pbs.twimg.com/card_img/1385359565169045504/GHxGEcBT?format=jpg&name=small'],https://twitter.com/derek_stockley/status/1245379868357001216
Marit Stiles,@maritstiles,2020-04-01T22:07:38.000Z,"Today I followed up w the Minister of Education on yesterday’s announcement. 

Families, students & educators still have many questions. I’ve outlined some of them here. 

Looking forward to more clarity & solutions. 

#onted #onpoli #COVID19 #schoolclosure",,,25,88,318,"['https://pbs.twimg.com/media/EUjPBNGWsAEz-wk?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUjPBNFXgAA6Rbx?format=jpg&name=360x360']",https://twitter.com/maritstiles/status/1245472921306509313
LeasideUnitedChurch,@LeasideUnited,2020-04-01T23:45:47.000Z,"From 
@JayeRobinson
 We are at a critical point in our battle against #COVID19. Each time you decide to stay home you r saving lives. As recommended by 
@epdevilla
 all residents should stay at home except to:
-Access healthcare 
-Shop for groceries once/week
-Walk pets
-Get exercise",,,,1,3,[],https://twitter.com/LeasideUnited/status/1245497618089807872
Sheila BoudrEAU ᓯᓚ,@SheilaBoudreau,2020-04-02T03:00:43.000Z,"We may be separated by #COVID19 #SocialDistancing #StayHomeSaveLives or even distance, but if u can create an online gathering of friends - like we did 2nite as a new book club over Zoom, it helps build #community & #mentalhealth",,,,1,5,[],https://twitter.com/SheilaBoudreau/status/1245546678301732864
Rob Cerjanec,@robcerjanec,2020-04-02T02:28:11.000Z,"I bought more groceries this evening than I ever have before. Everyone needs to #StayHome
! 

#COVID19 #Coronavirus",,,2,1,10,[],https://twitter.com/robcerjanec/status/1245538487929122818
David Chan,@UofTNeurologyPD,2020-04-02T11:54:47.000Z,Lymphopenia as a possible clue despite the absence of any #COVID19 symptoms on admission?,"Quote Tweet
The Lancet Neurology
@TheLancetNeuro
 · Apr 2, 2020
NEW #COVID19: Guillain-Barré syndrome associated with SARS-CoV-2 infection: causality or coincidence?
In their Correspondence, Hua Zhao and colleasgues higlight the need to consider potential neurological symptoms of SARS-CoV-2 infection
https://thelancet.com/journals/laneur/article/PIIS1474-4422(20)30109-5/fulltext…",,,,5,['https://pbs.twimg.com/profile_images/441610456797421568/rlB679dH_mini.jpeg'],https://twitter.com/UofTNeurologyPD/status/1245681076980367360
Bhutila Karpoche,@BhutilaKarpoche,2020-04-02T14:20:18.000Z,"Foodora couriers spent the last year on the ground and in the courtroom fighting to unionize and increase protections.

Now, they're helping people during #COVID19 by dropping off medication.

Let's remember their work and make sure to support their fight.","Foodora couriers now being asked to deliver medication — and they still have to buy their own...
“We’re not medical personnel — it’s a bit bold for a company like Foodora to talk about how we should be providing our own equipment.”
thestar.com",,1,29,80,['https://pbs.twimg.com/card_img/1387299910773612548/yJ7D0ElI?format=jpg&name=small'],https://twitter.com/BhutilaKarpoche/status/1245717700741120000
christopher mitchell,@travelingmitch,2020-04-02T11:19:01.000Z,"Well, a good friend officially has #COVID19.

It’s easy to pretend that this is something happening “over there” or “on the news.”

That it’s happening to “them” and not “us” or “me,” but those are false peramaters.

We’re all in this together, and need to support each other.",,🌏 ❤,4,3,40,[],https://twitter.com/travelingmitch/status/1245672077060947968
"James Callahan, RN",@nursejcallahan,2020-04-02T04:59:26.000Z,"If a #COVID19 patient flushes the toilet in their room without putting the seat down- is that an aerosolized generating medical procedure? 

Not a medical procedure but HCPs are often present. 

I can't sleep. 
#agmp #GetUsPPE",,,1,2,8,[],https://twitter.com/nursejcallahan/status/1245576551510335489
Kirk LeMessurier,@kwlem,2020-04-02T12:20:37.000Z,"Postcrisis, the public will demand investments in critical care & in controlling infectious diseases..our public health-care system will benefit from an integrated approach to this challenge. An emphasis on resilient & efficient health-care systems. #COVID19","Quote Tweet
Ont. Hospital Assoc.
@OntHospitalAssn
 · Apr 2, 2020
The crisis highlights the integrated nature of a resilient system:strong research capabilities to identify the illness sources & response..public health modelling capacity..well-trained & equipped frontline medical staff & surge capacity in hospitals https://theglobeandmail.com/business/commentary/article-five-lasting-implications-of-covid-19-for-canada-and-the-world/…",,,,2,['https://pbs.twimg.com/profile_images/1071070203465744384/xhkpoZrJ_mini.jpg'],https://twitter.com/kwlem/status/1245687579086852096
Alexander Daviau,@FeelingIndigo87,2020-04-02T16:32:40.000Z,Made a playdough bed for Violets doll who looks really broken by quarantine. #Covid19,,,,,,['https://pbs.twimg.com/media/EUnL7l0XYAgK2Rq?format=jpg&name=small'],https://twitter.com/FeelingIndigo87/status/1245751010045431808
Erica Natividad,@CityErica,2020-04-02T20:24:55.000Z,Number of confirmed cases of #COVID19 worldwide has topped one million.,,,,2,3,['https://pbs.twimg.com/media/EUoBGHxX0AIXppa?format=jpg&name=900x900'],https://twitter.com/CityErica/status/1245809456404934660
Christine Campbell,@c2_campbell,2020-04-02T14:28:34.000Z,"So grateful to @CCCICCIC and 
@karinagould
  for creating this moment to discuss global impact of   #COVID19 on most vulnerable #EqualityForAll #womensrights 
@CanadaDev",,,,1,2,[],https://twitter.com/c2_campbell/status/1245719781661122560
May Warren,@maywarren11,2020-04-03T13:44:05.000Z,Thread: I’ve been pretty quiet the last few weeks. It’s because I had #COVID19. I’ve been off social media focusing on getting healthy. But I wanted to write something now that I’m feeling better,"First Person | I’m a healthy millennial. Getting COVID-19 was so much worse than I expected
Star reporter May Warren contracted COVID-19 after a small dinner party. She thought it would be a mild case—until it wasn’t.
thestar.com",,314,2.3K,4.2K,['https://pbs.twimg.com/card_img/1384233080706134028/xpNkL57H?format=jpg&name=small'],https://twitter.com/maywarren11/status/1246070973071310848
Elaine Whittaker,@elainetwsalt,2020-04-03T22:33:30.000Z,The arts are getting us through this. #arts #COVID19 #artists #cbcarts,"Artists are getting us through COVID-19. Never question their value again | CBC Arts
If this crisis is an opportunity for change, let's start paying artists their dues.
cbc.ca",,,2,9,[],https://twitter.com/elainetwsalt/status/1246204204970119169
