UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Nikki Palmer,@nikki_flaser,2020-04-03T17:33:16.000Z,"Spotted 
@THP_hospital
 Mississauga Hospital...unsolicited gratitude.  Warms my heart as we prepare for the weeks ahead.  Having the community support at our backs gives us the fuel to persevere #knowyourwhy #COVID19 #BetterTogetherTHP",,,2,5,29,"['https://pbs.twimg.com/media/EUsjYCCWoAEtONt?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUsjYCCXYAIKEmv?format=jpg&name=360x360']",https://twitter.com/nikki_flaser/status/1246128650384220160
Danny Pagett,@spoonydan,2020-04-03T03:56:23.000Z,Guys I’m seeing boomers on Tik Tok and Millenials sending around chain posts on FB. COVID has flipped us,,,,3,13,[],https://twitter.com/spoonydan/status/1245923075528376321
Marit Stiles,@maritstiles,2020-04-03T12:21:12.000Z,"Cut 
Your 
Damn 
Interest
Rates

Pass it on. 

#COVID19 #cdnpoli","Quote Tweet
The Globe and Mail
@globeandmail
 · Apr 2, 2020
Mastercard and Visa raise tap limits to $250 so fewer consumers need to touch payment machines http://dlvr.it/RT3vvH @GlobeBusiness",,8,157,397,"['https://pbs.twimg.com/profile_images/742385672682512384/VfTAuqLg_mini.jpg', 'https://pbs.twimg.com/media/EUoGgjLUMAI5XLb?format=jpg&name=small']",https://twitter.com/maritstiles/status/1246050114839478272
Travis Dhanraj,@Travisdhanraj,2020-04-03T19:55:52.000Z,"#NEW: The province is shutting down all retail pot shops deeming them non-essential amid pandemic, OCS online sales will continue #COVID19",,,11,32,124,[],https://twitter.com/Travisdhanraj/status/1246164534647291906
Kyle.Taylor,@livingbyyyz,2020-04-03T01:57:44.000Z,"Dark Days Toronto Pearson YYZ
@TorontoPearson
 tonight is post apocalyptic empty. It’s unsettling and odd to see no cars around, when 9pm is a usually busy time for the airport. 

#toronto #COVID #canada #airlineindustry #aviation #avgeek","The following media includes potentially sensitive content. Change settings
View",,4,16,47,[],https://twitter.com/livingbyyyz/status/1245893215020093440
Michael Tibollo,@MichaelTibollo,2020-04-03T14:19:21.000Z,"#ICYMI: Our $12M increase in emergency funding  will allow #MentalHealth
 agencies to hire and train more staff, purchase necessary equipment, technology, additional licenses, and immediately expand evidence-informed Cognitive Behavioural Therapy (CBT) services. 

#COVID19",,,,8,28,['https://pbs.twimg.com/media/EUr3AyQXgA4N7tv?format=jpg&name=small'],https://twitter.com/MichaelTibollo/status/1246079846737903622
Kyle.Taylor,@livingbyyyz,2020-04-03T21:57:08.000Z,"5:30pm Toronto Pearson Ghost Town

Pearson looking extremely odd for 5:30 on a Friday evening. Plus you can see the sea of 
@AirCanada
 & 
@AirCanadaRouge
 with the CN tower in the background with ominous clouds, stay positive YYZ.

#avgeek #aviation #COVID #toronto #canada 
@cbctom",,,1,3,14,"['https://pbs.twimg.com/media/EUtfyYFXsAY_YtG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUtfyYFXQAAFtk8?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUtfyYEX0AIcmHp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUtfyYMWoAEnElP?format=jpg&name=360x360']",https://twitter.com/livingbyyyz/status/1246195051887316992
"Rudy Cuzzetto, MPP",@RudyCuzzetto,2020-04-03T19:35:57.000Z,"Thanks to Premier Doug 
@fordnation
 for releasing 
@ONThealth
’s projections on the impact of the #COVID19 crisis in Ontario. Had other governments reacted with this openness and transparency earlier, we may have been able to prevent a pandemic. 

Read more:
http://nationalpost.com/news/canada/public-health-ontario-covid19-modelling-technical-briefing-full-text/amp…",,,,2,11,['https://pbs.twimg.com/media/EUs_eoUWkAAmgoj?format=jpg&name=small'],https://twitter.com/RudyCuzzetto/status/1246159521967411200
Murray Socially Distant Cooke,@MurrayCooke10,2020-04-03T12:20:07.000Z,"It's great to see someone mention the essential work being done by frontline workers in the developmental services sector.
""The forgotten sector in the COVID-19 fight"" https://thestar.com/opinion/star-columnists/2020/04/02/the-forgotten-sector-in-the-covid-19-fight.html?utm_source=dlvr.it… via 
@torontostar
 #canlab","Opinion | The forgotten sector in the COVID-19 fight
We must remember the challenges and needs of people with intellectual disabilities and the people who help them during the COVID-19 crisis.
thestar.com",,1,7,7,['https://pbs.twimg.com/card_img/1386679783979765764/OwKiW_hk?format=jpg&name=small'],https://twitter.com/MurrayCooke10/status/1246049841785995264
Natalia Kusendova,@NatKusendova,2020-04-03T03:00:09.000Z,"I would like to give a huge shout out & appreciation to 
@osler_sim
 Dr. Tariq, Dr.Lee &others for organizing an incredible protected code blue #COVID19 simulation for ER staff. It’s important to practice in a safe environment to build that muscle memory ahead of the real scenario.",,,1,3,17,"['https://pbs.twimg.com/media/EUpbjopXkAcqEsp?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUpbjpKXgAM73YI?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUpbjosWoAAzaS-?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUpbjptXQAIqjjo?format=jpg&name=360x360']",https://twitter.com/NatKusendova/status/1245908921681928192
James Elliott,@Jandelliott,2020-04-03T16:36:51.000Z,"No vaccine.
No good treatments.
Now PPE is running low.

The ""innovative"" private pharma and biotech sector is MIA. If you ever wanted proof $350/vial insulin wasn't going to #innovation, here it is #COVID19 #Insulin4all",,,1,15,35,[],https://twitter.com/Jandelliott/status/1246114449192292352
"Rudy Cuzzetto, MPP",@RudyCuzzetto,2020-04-03T21:32:14.000Z,"#ICYMI: The Government of Ontario has updated our list of essential businesses to help stop the spread of #COVID19. #DoYourPartStayApart. #StopTheSpread #CovidOntario

Find the updated list of essential businesses here: 
https://ontario.ca/stopthespread",,,1,2,9,['https://pbs.twimg.com/media/EUtaF41XYAI-N_U?format=jpg&name=small'],https://twitter.com/RudyCuzzetto/status/1246188787727769600
Jim Warren,@jimwarren416,2020-04-03T13:00:01.000Z,"Mount Pleasant Cemetery has been like a re-enactment of Woodstock the past week. 

They made the decision to close the gates to the general public immediately. 

It’s the place I walked and ran before COVID-19 and I support this decision to help people help themselves.",,,4,6,20,[],https://twitter.com/jimwarren416/status/1246059882975035395
A Different Booklist,@ADFRNTBooklist,2020-04-03T21:00:38.000Z,"What
would you like to see emerge from #COVIDー19? As many people turn to art during crises, 
@amanda_parris
 envisions a world that appreciates artists & their work. Her latest, Artists are getting us through COVID-19. Never question their value again: https://cbc.ca/arts/artists-are-getting-us-through-covid-19-never-question-their-value-again-1.5519840?__vfz=medium%3Dsharebar…","Artists are getting us through COVID-19. Never question their value again | CBC Arts
If this crisis is an opportunity for change, let's start paying artists their dues.
cbc.ca",📚 🌍 📚,,7,14,[],https://twitter.com/ADFRNTBooklist/status/1246180835981737986
Pedro Marques,@MetroManTO,2020-04-03T17:38:48.000Z,"The flu kills 1,350-1,500 in Ontario in a bad year. 3,000-15,000 are expected to die of #COVID19, even with protections in place — 100,000 if we had done nothing. I hope this puts to rest all the conspiracy nuts saying that this is just like the flu.","Quote Tweet
CBC News
@CBCNews
 · Apr 3, 2020
Ontario health experts say they expect COVID-19 could kill 3,000 to 15,000 people in the province over the course of the pandemic. https://cbc.ca/1.5519575",,2,10,19,['https://pbs.twimg.com/profile_images/957919598749323264/NuYdCE6a_mini.jpg'],https://twitter.com/MetroManTO/status/1246130039609012232
Danielle Michaud,@SNMichaud,2020-04-03T21:56:24.000Z,"Working from home has been an absolute dream...
 #COVID19",,😐,10,9,127,['https://pbs.twimg.com/ext_tw_video_thumb/1246194782659018754/pu/img/g5J-v4Ns2bnHNbEx.jpg'],https://twitter.com/SNMichaud/status/1246194866926891008
Jeffrey Luscombe,@JeffreyLuscombe,2020-04-03T16:48:59.000Z,"Now show us the slide had 
@fordnation
 not told people not to worry and go enjoy spring break. 
@cbc
 #cdnpoli #onpoli #COVID19 #COVID19ontario #coronavirus",,,2,8,33,[],https://twitter.com/JeffreyLuscombe/status/1246117506231808006
The Brandon Gonez Show,@brandongonez,2020-04-03T14:45:18.000Z,"NEW: #Ontario reports 462 new cases of #Covid19, brining the total to 3,255 across the province. 

Important to note, the number of recovered now sits at 1,023.",,,1,8,20,[],https://twitter.com/brandongonez/status/1246086380297629696
Jeffrey Luscombe,@JeffreyLuscombe,2020-04-03T16:45:36.000Z,"In mentioning all the ways the Ontario government has helped stop the virus, Public Health forgot to mention the part where 
@fordnation
 told people to go out, travel and enjoy their March break. #onpoli #COVID19Pandemic #COVID19 #cdnpoli",,,,2,12,[],https://twitter.com/JeffreyLuscombe/status/1246116653546590208
Mayor Maurizio Bevilacqua,@mbmayor,2020-04-03T14:58:44.000Z,"An 84-year-old City of Vaughan resident has passed away from COVID-19. On behalf of all citizens, I extend our condolences to the family and loved ones.",,,3,3,27,[],https://twitter.com/mbmayor/status/1246089757744140289
Sen.Donna Dasko,@DonnaDasko,2020-04-03T16:05:52.000Z,“Give us the analytic models” say Canadians! “We need the data” say the journalists! “We need the models!!!” Never in my career  as a researcher did I expect to see such a rage for analytic modelling scenarios! #COVID19 ,,😋,,,7,[],https://twitter.com/DonnaDasko/status/1246106653407264774
Sean Molloy,@SeanJMolloy,2020-04-03T10:49:53.000Z,"Thank you 
@amazon
 - from all the healthcare workers living in our communities. #COVID19","Quote Tweet
Fast Company
@FastCompany
 · Apr 3, 2020
Amazon bans the public from buying N95 and other face masks during the COVID-19 crisis http://f-st.co/X5LTUJ8",,,1,8,['https://pbs.twimg.com/profile_images/1051826427837014017/v2TLU4mf_mini.jpg'],https://twitter.com/SeanJMolloy/status/1246027134264623107
Kevin Frankish,@KevinFrankish,2020-04-03T22:57:26.000Z,Coping With #COVID19 Isolation,"1:14
4.6K viewers
Kevin Frankish
@KevinFrankish
Coping With #COVID19 Isolation — Toronto, Ontario, Canada
pscp.tv",,6,8,143,['https://pbs.twimg.com/profile_images/1332787956487221252/ozLEVhXu_mini.jpg'],https://twitter.com/KevinFrankish/status/1246210226556043264
Anne Marie Aikins,@AMAwithAMA,2020-04-03T19:11:14.000Z,GO customers pls take note of schedule changes. We will ensure no crowding & that our healthcare & other essential workers can get to their jobs during #COVID19 pandemic,"Quote Tweet
GO Transit
@GOtransit
 · Apr 3, 2020
#COVID19 Update: Starting April 8, we are reducing GO train & bus service levels in order to sustain a safe transit experience customers can rely on. Please check schedule changes before you GO: http://bit.ly/3c0jVIL",,2,6,17,"['https://pbs.twimg.com/profile_images/1278024115421687808/xY_ujt07_mini.jpg', 'https://pbs.twimg.com/media/EUs1qyNXkAExl-w?format=jpg&name=small']",https://twitter.com/AMAwithAMA/status/1246153303349657608
Shaun Chen,@Shaun_Chen,2020-04-03T23:39:50.000Z,"On the phone with one of our local physicians, Dr Derek Ng from Terrapin Healthcare, discussing #COVID19 prevention strategies for #ScarbTO North - big thanks to our hardworking frontline medical workers, especially during this difficult time",,,,5,10,['https://pbs.twimg.com/media/EUt3THZXgAEFAx1?format=jpg&name=small'],https://twitter.com/Shaun_Chen/status/1246220899705131008
Fr Alexander Laschuk,@byzkanonist,2020-04-03T00:00:35.000Z,#covid19 surprises in my mailbox!,,,1,1,10,['https://pbs.twimg.com/media/EUoydS0WoAERq6p?format=jpg&name=small'],https://twitter.com/byzkanonist/status/1245863733882015747
Samir Gupta,@SammyG_MD,2020-04-03T02:40:39.000Z,"Involved in this  #COVID19 international survey with over 100 #researchers from more than 20 countries. 
Please complete and share broadly - for both healthcare and general public: http://mbmc-cmcm.ca/covid19
 
#SocialDistancing #CoronaCrisis #InThisTogether
 
@mbmc_cmcm
 @IBTNetwork","iCARE Study
Survey 9: Choose your language English English (USA) English (Canada) English (UK) English (Australia) Français (Canada) Français (France) 中文 (simplified) 中文 (traditional) Español (todos los países…
mbmc-cmcm.ca",,,4,4,['https://pbs.twimg.com/card_img/1384401495802658819/ZyAUxcXo?format=png&name=small'],https://twitter.com/SammyG_MD/status/1245904015210229761
SharonwuCBC,@SharonwuCBC,2020-04-03T21:33:53.000Z,"They are at every federal & provincial #COVID19 update to bring critical information and joy to many Canadians across the country. Thank you 
@BrendaJenkins4
 #NigelHoward and all #ASLinterpreters for your #unsunghero work! 
@glasneronfilm
 @SharonwuCBC
 @CBCTheNational","Quote Tweet
CBC News: The National
@CBCTheNational
 · Apr 3, 2020
Sign language interpreters are gaining newfound attention — and appreciation — because of their role during daily COVID-19 updates. @glasneronfilm",,,2,5,"['https://pbs.twimg.com/profile_images/1065726631531163648/KxKeKSnH_mini.jpg', 'https://pbs.twimg.com/media/EUslHJ2XsAA3azg.jpg']",https://twitter.com/SharonwuCBC/status/1246189200623484929
Michael Tibollo,@MichaelTibollo,2020-04-03T19:10:52.000Z,"Based on the advice of Dr. Williams, Ontario's Chief Medical Officer of Health, and other experts, we are taking further action to stop the spread of #COVID19.

Find an updated list of essential businesses in Ontario by visiting http://ontario.ca/stopthespread.",,,,,6,['https://pbs.twimg.com/media/EUs5vNxXgAE_WKT?format=jpg&name=small'],https://twitter.com/MichaelTibollo/status/1246153210198401029
Julia Hanigsberg,@Hanigsberg,2020-04-03T15:47:34.000Z,"The family leader rapid response team at 
@HBKidsHospital
 has been critical for our #COVID19 planning and response. So grateful to our family leaders AND our team who has organized this work. ","Quote Tweet
Beth Dangerfield (She/Her)
@bethdblogger
 · Apr 3, 2020
We did this @HBKidsHospital  We have 10 rapid response family leaders ready to #partner with staff to provide the patient/family perspective almost immediately. We are grateful for the family leaders that are able to provide this support @jeanhammond70 @ClaraHo88 @AmanSium twitter.com/FabianaBacchin…",👏 👏,,3,10,['https://pbs.twimg.com/profile_images/1373451219973328897/fi-KWM6C_mini.jpg'],https://twitter.com/Hanigsberg/status/1246102050196402178
Adrian Cheung,@adrianwkcheung,2020-04-03T14:12:32.000Z,"Listen to our colleague 
@maywarren11
 on what it feels like to get COVID-19. The symptoms can be severe, even for healthy people in their 20s & 30s

Our latest 
@TorontoStar
 podcast episode of #ThisMatters is live now","This Matters | Daily News Podcast on Apple Podcasts
News · 2021
podcasts.apple.com",,,6,5,['https://pbs.twimg.com/card_img/1385989616784723973/xLtwqANI?format=png&name=small'],https://twitter.com/adrianwkcheung/status/1246078131376730114
Kevin Frankish,@KevinFrankish,2020-04-03T15:34:10.000Z,"Where you get your news from matters!  I strongly recommend you search the source of news you get here https://mediabiasfactcheck.com to see if factual reporting is something they do well or not.  Remember, just because you disagree with it does not make it fake news. #COVID19",GIF,,,5,16,['https://pbs.twimg.com/tweet_video_thumb/EUsII4GWsAENuAm.jpg'],https://twitter.com/KevinFrankish/status/1246098675828432897
Deepak Anand,@DeepakAnandMPP,2020-04-03T19:19:29.000Z,"#workingtogether is the only way to stop the spread of #COVID19. Here is the updated list of essential businesses in Ontario: http://ontario.ca/stopthespread 
Please #stayHome
, if you really need to go, make sure to  maintain #SocialDistance. 
#StopTheSpread #CovidOntario",,,,1,10,['https://pbs.twimg.com/media/EUs7tfaXQAA5w-i?format=jpg&name=small'],https://twitter.com/DeepakAnandMPP/status/1246155378989117441
Lauren O'Neil,@laurenonline,2020-04-03T16:54:14.000Z,These numbers are not heartening. I wouldn’t be surprised if Ontario were on full lockdown by Monday. #COVID19,,,1,2,5,[],https://twitter.com/laurenonline/status/1246118825248071688
Stephen Lapinsky,@StephenLap,2020-04-03T16:10:56.000Z,"Thread - great recognition of 
@UofT
 residents who stepped up during the #COVID19 crisis! Thanks to all (and to 
@TheAlyssaLouis
 for pointing this out, and for her excellent organization 
@SinaiHealth
)","Quote Tweet
Alyssa Louis
@TheAlyssaLouis
 · Apr 3, 2020
The following thread is to publicly acknowledge and thank some of the many @UofT_DoM @UofTPGME  trainees who have stepped up in this time of crisis to help their colleagues and ensure the best possible patient care during the past few weeks. Feel free to add to the list!
Show this thread",,,,12,['https://pbs.twimg.com/profile_images/1135237618503888896/rAHFk99M_mini.jpg'],https://twitter.com/StephenLap/status/1246107929234878464
Marit Stiles,@maritstiles,2020-04-03T12:40:27.000Z,"I cannot say it better. If you are a tenant, listen to 
@chipadovani
’s advice about how to deal with an eviction notice during the COVID19 crisis. 

#davenportTO #onpoli #RENTRELIEF","Quote Tweet
Chiara Padovani
@chipadovani
 · Apr 2, 2020
I'd like to share an important message with #YSW tenants on behalf of @YSWTenants regarding evictions during the #coronavirus crisis 
 #COVID19 #topoli #onpoli #cdnpoli
Show this thread",⬇,1,8,13,"['https://pbs.twimg.com/profile_images/1146622243189022721/u05o6G9H_mini.png', 'https://pbs.twimg.com/ext_tw_video_thumb/1245850458633232386/pu/img/dQae_mqIb74J3vfs.jpg']",https://twitter.com/maritstiles/status/1246054958832726017
Bonnie Crombie,@BonnieCrombie,2020-04-03T23:13:59.000Z,"Thanks 
@VassyKapelos
 for having me and Ontario Mayor's 
@JimWatsonOttawa
 and 
@drewdilkens
 on 
@PnPCBC
 tonight to discuss Ontario #COVID19 projections and how cities and our people will be impacted. This will be an uphill battle. Our people are strong and we'll get through this.",,,2,11,53,['https://pbs.twimg.com/media/EUtxYmGX0AEgtT1?format=jpg&name=small'],https://twitter.com/BonnieCrombie/status/1246214394985566212
Norris McDonald,@NorrisMcDonald2,2020-04-03T18:17:32.000Z,"Oh, great. How many civil servants do we have? Why have we contracted this out to an American company that is working flat out (no social distancing at that place) during this emergency and killing our retail sector in the process? #COVID19 
@ETRaceline
 @99forever
 @AutomotiveWoman","Quote Tweet
Vassy Kapelos
@VassyKapelos
 · Apr 3, 2020
NEW: PM announces agreement with Amazon Canada to manage distribution of medical supplies to provinces (masks, face shields, gowns, ventilators, and test kits.)",,,,6,['https://pbs.twimg.com/profile_images/1237367735849496579/5ixo4Uo0_mini.jpg'],https://twitter.com/NorrisMcDonald2/status/1246139787641225221
Farrah Merali,@FarrahMerali,2020-04-03T23:25:10.000Z,Being in the #COVID19 work bubble I was completely oblivious to the fact until moments ago that he in fact had passed. As we all think about the people we miss right now this is a balm for the soul: #RIPBillWithers,"Bill Withers - Grandma's Hands
It's an incredible song, here performed live and even better for that.Simon Cowell please take note. Proper talent can sing and play live and doesn't need Au...
youtube.com",,1,,5,['https://pbs.twimg.com/card_img/1385262234528534533/E8cUR5ki?format=jpg&name=240x240'],https://twitter.com/FarrahMerali/status/1246217205810937856
Sean Molloy,@SeanJMolloy,2020-04-03T00:20:29.000Z,"Day 1/10 - #mylifeinpictures - a picture that reminds me of the people I work with every day. Thank you 
 for all that you do. I nominate 
@TalyaJW
 to post and nominate someone each day. As we move through #COVID19 - thx 
@G2016Esther
 and 
@saraurowitz",,,1,1,15,['https://pbs.twimg.com/media/EUo3AAkWoAAv0oR?format=jpg&name=small'],https://twitter.com/SeanJMolloy/status/1245868740744335367
Paul Frank,@pwgfrank,2020-04-04T03:23:13.000Z,"1992: Winfield wants noise

2020: Winfield would really like it if COVID-19 could fuck right off

#BlueJays",,,1,1,19,[],https://twitter.com/pwgfrank/status/1246277114497765378
Sergio Mourato,@OMNITVSergio,2020-04-04T20:07:51.000Z,"The total number of confirmed #COVID19 cases in the City of Toronto has surpassed 1,000 after 101 new cases were reported on Saturday. Toronto Public Health says there are 823 confirmed cases in the city with another 203 probable cases. Of those, 125 people are now hospitalized",,,,2,2,[],https://twitter.com/OMNITVSergio/status/1246529939614117891
MSBA Baseball,@MSBAbaseball,2020-04-04T19:28:07.000Z,Here is the latest update from Baseball Ontario regarding COVID-19.,,,,3,4,['https://pbs.twimg.com/media/EUyHRbyXgAALCi7?format=jpg&name=small'],https://twitter.com/MSBAbaseball/status/1246519939483213824
Patrick Kiernan,@PatricKiernan,2020-04-04T17:45:28.000Z,FaceTiming with my parents during COVID.,,,2,,20,['https://pbs.twimg.com/media/EUxvyHDWAAYnYs8?format=jpg&name=medium'],https://twitter.com/PatricKiernan/status/1246494107226292224
Dorian Cox,@TheDorianScale,2020-04-04T23:18:23.000Z,"My message regarding COVID-19 and the 
@CanadianOpera
 #FreeConcertSeries. ",,,,,19,['https://pbs.twimg.com/media/EUy7-roWAAEt7KA?format=jpg&name=small'],https://twitter.com/TheDorianScale/status/1246577887068774400
Sylvain Roy,@DrSylvainRoy,2020-04-04T03:04:40.000Z,"[1] That’s a wrap for the week. Feeling satisfied with our work at 
@ONPsych
 over the last 2 weeks. The team is working almost around the clock. Preventing the disruptions of psychological services to 400k Ontarians this year is no simple task. Many people to thank! #COVID19",GIF,,3,15,50,['https://pbs.twimg.com/tweet_video_thumb/EUumLn4XsAAP74N.jpg'],https://twitter.com/DrSylvainRoy/status/1246272445709012992
Lego Cop in GTA,@legocopgta,2020-04-04T08:07:44.000Z,"Ready? #TorontoPolice will be out this weekend to enforce #SocialDistance and other bylaws in order to stop the spread of #COVID19. Don't understand the detail of the new rules? Long story short, Stay Home!! Again, please #StayAtHome!! 
 
#police #toronto #lego #legocop",,🏘,2,13,42,['https://pbs.twimg.com/media/EUvrjEBXkAAQFAc?format=jpg&name=small'],https://twitter.com/legocopgta/status/1246348714798657537
Jeffrey Luscombe,@JeffreyLuscombe,2020-04-04T11:01:09.000Z,So the specialty paper used in 3Ms N95 is made in Canada? Seems foolish (not to mention inhumane) for Trump to try and stop 3M from filling Canadian orders. #N95masks #COVID19,,,26,144,434,[],https://twitter.com/JeffreyLuscombe/status/1246392357546795011
Brett Howell,@urbanplan_b,2020-04-04T05:19:56.000Z,"Thank you 
@fordnation
 and I am willing to pay whatever it takes to ensure that Canadians have access to locally produced medical supplies now and in the future. #partnership #COVID19 
 #NeverForget","Quote Tweet
Doug Ford
@fordnation
 · Apr 3, 2020
We may be small when it comes to population but we are giants in manufacturing. We have some of the best and brightest. As long as I’m Premier, we will no longer rely on others for these essential medical goods.
0:21
225.2K views",,,2,1,['https://pbs.twimg.com/profile_images/1355178357005164544/xggZzzdg_mini.jpg'],https://twitter.com/urbanplan_b/status/1246306489213599744
Tina Yazdani,@TinaYazdani,2020-04-04T20:06:09.000Z,"Love this, someone converted a Little Free Library to a Little Free Pantry in Toronto. Take what you need, leave what you can: “we are in this together and helping our friends & neighbours is just one way we can show love for each other during these trying times.” #COVID19",,,3,34,118,"['https://pbs.twimg.com/media/EUyP-UjXQAYPGfQ?format=jpg&name=small', 'https://pbs.twimg.com/media/EUyP-UkWoAEnetp?format=jpg&name=small']",https://twitter.com/TinaYazdani/status/1246529511249850369
John X. Prentice,@JohnaldPrentice,2020-04-04T00:32:05.000Z,What can you do to help your local economy in the face of the COVID-19 pandemic? Easy. Order Takeout and support your local restaurants.,,,,3,13,[],https://twitter.com/JohnaldPrentice/status/1246234046637670400
Mayor Maurizio Bevilacqua,@mbmayor,2020-04-04T21:20:11.000Z,"From picking up groceries to filling prescriptions, 
@AMYACanada
’s Neighbourhood Helper campaign is supporting Canadians in need. #Thankyou for your service and dedication to our communities! 
@AMYA_Vaughan
 #COVID19",,,11,139,146,['https://pbs.twimg.com/media/EUyg7SaX0AYfWmH?format=jpg&name=small'],https://twitter.com/mbmayor/status/1246548141563949058
Inspector Paul Rinkoff,@LeaderPolicy,2020-04-04T01:07:21.000Z,"Excited to be back on the #Frontline as a new #DutyInspector  
@TorontoPolice
. Supporting our men and women through  #COVID19 on top of the everyday risk and danger our officers face is the most important job I can think of. 
@OACPOfficial
 @EBpolicing
 @ShawnaCoxon
 @DeputyPeterYuen",,,12,9,172,['https://pbs.twimg.com/media/EUuLVHAXkAEeF49?format=jpg&name=small'],https://twitter.com/LeaderPolicy/status/1246242922883960834
Aminah Sheikh,@AminahSheikh,2020-04-04T05:38:18.000Z,Amazon workers over past year have been rising up globally. #COVID19 is making it ever more urgent for these workers to fight back,"From 
Make the Road NY",🌹 🦋,1,6,29,['https://pbs.twimg.com/ext_tw_video_thumb/1244679972658216960/pu/img/Xy92CfDSjEs2Gjvz.jpg'],https://twitter.com/AminahSheikh/status/1246311111126929412
Julia Hanigsberg,@Hanigsberg,2020-04-04T18:44:02.000Z,"VERY grateful for emergency alerts regarding #COVID19 & #StayHome
 or #PhysicalDistancing Anyone complaining about the alerts or the way they are coming out has really got to get perspective. We are talking about reducing the expected 1600 dead in Ontario this month.",,,4,13,70,['https://pbs.twimg.com/media/EUx9L7DWAAM6lTi?format=jpg&name=900x900'],https://twitter.com/Hanigsberg/status/1246508845687595008
Li Koo,@LiKoo_TO,2020-04-04T14:18:18.000Z,"Join me for a timely convo about #Housing & #COVID19 with a panel of #mortgage, #tenant, #landlord, #RealEstate experts. Thx 
@TorDanPLA
 for hosting! RSVP to get the link!",,,2,9,18,['https://pbs.twimg.com/media/EUxAXX4X0AACMQn?format=jpg&name=small'],https://twitter.com/LiKoo_TO/status/1246441971914354689
Michael Tibollo,@MichaelTibollo,2020-04-04T00:57:42.000Z,"Yesterday, I joined Premier Ford to announce that the Ontario government is providing emergency funding of up to $12 million for the mental health and addictions sector to increase online and virtual mental health supports for Ontarians during the outbreak of COVID-19.","0:50
2K views",,7,11,63,[],https://twitter.com/MichaelTibollo/status/1246240492330848256
Sean Molloy,@SeanJMolloy,2020-04-04T18:54:07.000Z,"Day 3/10 - #mylifeinpictures - what I saw on the windows of 
@NYGH_News
 this morning - a reminder to find time to smile. 
@ncolarossi
 I nominate you next to post what is meaningful to you as we work through #COVID19",,,,2,15,"['https://pbs.twimg.com/media/EUx_cClXsAAwjjf?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUx_cCoWsAIFy1D?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUx_cCmWkAETnBG?format=jpg&name=360x360', 'https://pbs.twimg.com/media/EUx_cCuWsAEcecZ?format=jpg&name=360x360']",https://twitter.com/SeanJMolloy/status/1246511385242189824
"Bubblegum Ⓥ
BLM
OF/bubblegumfoxx",@foxxycandyfloss,2020-04-04T12:46:39.000Z,Ok so the COVID19 vaccine may be tested in animals and now this vegan activist is telling people on fb not to vaccinate..... VACCINES SAVE LIVES! Obviously I’m against animal testing but we’re fighting a pandemic and a dead activist is a bad activist for the animals!!,,🍁,2,4,38,[],https://twitter.com/foxxycandyfloss/status/1246418908036444160
Stephen Lapinsky,@StephenLap,2020-04-04T16:52:33.000Z,"Valuable paper by 
@gattinon
 et al on COVID pulmonary disease phenotypes (Low elastance & High elastance): pathophysiology and differing treatment approaches. 

https://esicm.org/wp-content/uploads/2020/04/684_author-proof.pdf…",,,,7,9,['https://pbs.twimg.com/media/EUxjq-FXYAE7xME?format=jpg&name=small'],https://twitter.com/StephenLap/status/1246480791724589061
"Rudy Cuzzetto, MPP",@RudyCuzzetto,2020-04-04T01:02:13.000Z,"UPDATE: Our Government made important progress today fighting #COVID19:
 new online test result portal
 cleared test backlog
 shared provincial data to show need to #StopTheSpread
 revised list of essential businesses

For the latest updates, visit http://Ontario.ca/coronavirus",,✅ ✅ ✅ ✅,,2,12,['https://pbs.twimg.com/media/EUuKJpFXgAAHyo3?format=jpg&name=small'],https://twitter.com/RudyCuzzetto/status/1246241631440953345
Marit Stiles,@maritstiles,2020-04-04T07:50:36.000Z,"Much appreciated clarity from 
@malloy_john
 

We need this province wide. We need this from government 

#onpoli #onted #COVID19","Quote Tweet
Beyhan Farhadi, PhD
@BBFarhadi
 · Apr 3, 2020
REMOTE LEARNING not e-learning
9-12: Only demonstrated improvements considered when assigning final mark
Non-digital opt. and delivery of devices starting April 6 
 #onted twitter.com/malloy_john/st…",✅ ✅ ✅ 👏 👏 👏,2,9,45,['https://pbs.twimg.com/profile_images/1159161695220174850/3MmqGLqG_mini.jpg'],https://twitter.com/maritstiles/status/1246344402756341761
